timestamp,walletValue,projectValue,totalValue
2022-11-21,220125287.2894,2967258.9090,223092546.1984
2022-11-22,225957922.1491,3041382.6023,228999304.7514
2022-11-23,232033819.3611,3106491.7338,235140311.0949
2022-11-24,249898931.8117,3179114.8402,253078046.6519
2022-11-25,243877386.4020,3178383.6550,247055770.0570
2022-11-26,236821439.0257,3167166.0469,239988605.0726
2022-11-27,213599006.1942,3200465.5976,216799471.7918
2022-11-28,202389011.4316,3180294.0469,205569305.4785
2022-11-29,198460769.6590,3205667.9227,201666437.5817
2022-11-30,196063913.0413,3278780.5083,199342693.5496
2022-12-01,195921811.9141,3250260.3285,199172072.2426
2022-12-02,179203515.9400,3271178.7589,182474694.6989
2022-12-03,173578448.5236,3218119.8904,176796568.4140
2022-12-04,170745087.5267,3185817.2537,173930904.7804
2022-12-05,183876198.5851,3200767.4483,187076966.0334
2022-12-06,188872901.7473,3216298.1754,192089199.9227
2022-12-07,202932759.7555,3186108.8362,206118868.5917
2022-12-08,206374416.7599,3269338.5353,209643755.2952
2022-12-09,212842031.4607,3280859.5881,216122891.0488
2022-12-10,234303859.0412,3288768.0026,237592627.0438
2022-12-11,229004479.8585,3235830.0836,232240309.9421
2022-12-12,237896489.3761,3209327.4061,241105816.7822
2022-12-13,218539055.3876,3270853.7066,221809909.0942
2022-12-14,204568333.8169,3340124.2282,207908458.0451
2022-12-15,201022490.2248,3346128.9063,204368619.1311
2022-12-16,189995098.2445,3176229.2447,193171327.4892
2022-12-17,174968520.0374,3289605.5800,178258125.6174
2022-12-18,163882300.1358,3228506.0926,167110806.2284
2022-12-19,149581865.5667,3215689.1292,152797554.6959
2022-12-20,141394741.7595,3301502.2601,144696244.0196
2022-12-21,130702954.8758,3293205.2147,133996160.0905
2022-12-22,144290285.5980,3332142.5441,147622428.1421
2022-12-23,123817948.0440,4067971.8524,127885919.8964
2022-12-24,127617416.8697,4105197.1840,131722614.0537
2022-12-25,140751922.3583,4111453.8359,144863376.1942
2022-12-26,140883268.3510,4099177.6251,144982445.9761
2022-12-27,170466196.6865,4060966.3409,174527163.0274
2022-12-28,156103960.6593,4061144.6536,160165105.3129
2022-12-29,145858168.0345,4050217.5158,149908385.5503
2022-12-30,164417808.7972,4078688.9356,168496497.7328
2022-12-31,141634266.6501,4087813.2489,145722079.8990
2023-01-01,152807218.9444,4113099.2943,156920318.2387
2023-01-02,157868155.9048,4138415.4534,162006571.3582
2023-01-03,153324815.5788,4113266.4730,157438082.0518
2023-01-04,137055013.8733,4105190.0398,141160203.9131
2023-01-05,139573201.2919,4027246.2262,143600447.5181
2023-01-06,194465834.6326,3926979.0792,198392813.7118
2023-01-07,171946558.5383,3899622.3114,175846180.8497
2023-01-08,229453068.5430,4060507.1705,233513575.7135
2023-01-09,264157040.2444,4109841.9417,268266882.1861
2023-01-10,273640807.7061,4110741.7263,277751549.4324
2023-01-11,269504077.3529,4240117.9114,273744195.2643
2023-01-12,276748087.5762,4283137.5452,281031225.1214
2023-01-13,338364347.3033,4502101.3596,342866448.6629
2023-01-14,341716976.4647,4632658.7331,346349635.1978
2023-01-15,313541223.4846,4685648.6931,318226872.1777
2023-01-16,312706244.1689,4670633.8612,317376878.0301
